Truck Plan Ref.,PUS Record,Due Date,Release Time,Delivery Time,Route Code,Trip,Truck License,Driver Name
Aun1__20200613A01,0,2020-06-13,,,Aun-metal,1,,
Aun1__20200603A01,0,2020-06-03,,,Aun-metal,1,,
Aun1__20200601A02,0,2020-06-01,,,Aun-metal,1,,
rou2__20200609A02,0,2020-06-09,,,routeCode10/10/2020,2,,
Aun1__20200603A03,0,2020-06-03,,,Aun-metal,1,,
rou2__20200604A02,0,2020-06-04,,,routeCode10/10/2020,2,,
Aun1__20200602A02,0,2020-06-02,,,Aun-metal,1,,
Aun1__20200610A02,0,2020-06-10,,,Aun-metal,1,,
SPV1__20200602A01,0,2020-06-02,,,SPV-JIT-Rayong,1,,
Aun1__20200605A02,0,2020-06-05,,,Aun-metal,1,,
Aun1__20200611A02,0,2020-06-11,,,Aun-metal,1,,
SPV1__20200615A02,0,2020-06-15,,,SPV-JIT-Rayong,1,,
rou2__20200616A01,0,2020-06-16,,,routeCode10/10/2020,2,,
Aun1__20200609A01,0,2020-06-09,,,Aun-metal,1,,
rou2__20200617A02,0,2020-06-17,,,routeCode10/10/2020,2,,
Aun1__20200619A02,0,2020-06-19,,,Aun-metal,1,,
rou2__20200605A01,0,2020-06-05,,,routeCode10/10/2020,2,,
SPV1__20200602A02,0,2020-06-02,,,SPV-JIT-Rayong,1,,
SPV1__20200601A03,0,2020-06-01,,,SPV-JIT-Rayong,1,,
Aun1__20200604A01,0,2020-06-04,,,Aun-metal,1,,
Aun1__20200605A03,0,2020-06-05,,,Aun-metal,1,,
Aun1__20200603A02,0,2020-06-03,,,Aun-metal,1,,
rou2__20200603A02,0,2020-06-03,,,routeCode10/10/2020,2,,
SPV1__20200615A01,0,2020-06-15,,,SPV-JIT-Rayong,1,,
SPV1__20200604A03,0,2020-06-04,,,SPV-JIT-Rayong,1,,
Aun1__20200617A01,0,2020-06-17,,,Aun-metal,1,,
SPV1__20200601A02,0,2020-06-01,,,SPV-JIT-Rayong,1,,
Aun1__20200608A02,0,2020-06-08,,,Aun-metal,1,,
rou2__20200610A02,0,2020-06-10,,,routeCode10/10/2020,2,,
rou2__20200616A02,0,2020-06-16,,,routeCode10/10/2020,2,,
Aun1__20200618A03,0,2020-06-18,,,Aun-metal,1,,
rou2__20200617A03,1,2020-06-17,12.30,17.30,routeCode10/10/2020,2,,
Aun1__20200615A02,0,2020-06-15,,,Aun-metal,1,,
Aun1__20200613A02,0,2020-06-13,,,Aun-metal,1,,
SPV1__20200608A03,1,2020-06-08,11.30,14.30,SPV-JIT-Rayong,1,test 1234,ณรงค์ฤทธิ์ สายสุวรรณ
rou2__20200618A02,0,2020-06-18,,,routeCode10/10/2020,2,,
rou2__20200603A01,0,2020-06-03,,,routeCode10/10/2020,2,,
Aun1__20200602A01,0,2020-06-02,,,Aun-metal,1,,
rou2__20201010A01,0,2020-10-10,,,routeCode10/10/2020,2,,
Aun1__20200601A03,0,2020-06-01,,,Aun-metal,1,,
Aun1__20200613A03,0,2020-06-13,,,Aun-metal,1,,
Aun1__20200601A01,0,2020-06-01,,,Aun-metal,1,,
SPV1__20200609A03,1,2020-06-09,11.30,14.30,SPV-JIT-Rayong,1,test 1234,ณรงค์ฤทธิ์ สายสุวรรณ
SPV1__20200605A03,1,2020-06-05,11.30,14.30,SPV-JIT-Rayong,1,test 1234,ณรงค์ฤทธิ์ สายสุวรรณ
Aun1__20200604A02,0,2020-06-04,,,Aun-metal,1,,
rou2__20200609A03,0,2020-06-09,,,routeCode10/10/2020,2,,
rou2__20200617A01,0,2020-06-17,,,routeCode10/10/2020,2,,
SPV1__20200615A03,1,2020-06-15,11.30,14.30,SPV-JIT-Rayong,1,test 1234,ณรงค์ฤทธิ์ สายสุวรรณ
rou2__20200611A03,1,2020-06-11,12.30,17.30,routeCode10/10/2020,2,,
Aun1__20200616A02,0,2020-06-16,,,Aun-metal,1,,
Aun1__20200619A01,0,2020-06-19,,,Aun-metal,1,,
Aun1__20200606A02,0,2020-06-06,,,Aun-metal,1,,
SPV1__20200608A01,0,2020-06-08,,,SPV-JIT-Rayong,1,,
Aun1__20200610A01,0,2020-06-10,,,Aun-metal,1,,
Aun1__20200616A03,0,2020-06-16,,,Aun-metal,1,,
rou2__20200611A02,0,2020-06-11,,,routeCode10/10/2020,2,,
SPV1__20200608A02,0,2020-06-08,,,SPV-JIT-Rayong,1,,
Aun1__20200605A01,0,2020-06-05,,,Aun-metal,1,,
rou2__20200611A01,0,2020-06-11,,,routeCode10/10/2020,2,,
Aun1__20200617A03,0,2020-06-17,,,Aun-metal,1,,
Aun1__20200610A03,0,2020-06-10,,,Aun-metal,1,,
Aun1__20200611A03,0,2020-06-11,,,Aun-metal,1,,
Aun1__20200611A01,0,2020-06-11,,,Aun-metal,1,,
rou2__20200605A03,1,2020-06-05,12.30,17.30,routeCode10/10/2020,2,,
Aun1__20200618A02,0,2020-06-18,,,Aun-metal,1,,
rou2__20200618A01,0,2020-06-18,,,routeCode10/10/2020,2,,
Aun1__20200616A01,0,2020-06-16,,,Aun-metal,1,,
Aun1__20200602A03,0,2020-06-02,,,Aun-metal,1,,
rou2__20200608A03,1,2020-06-08,12.30,17.30,routeCode10/10/2020,2,,
Aun1__20200618A01,0,2020-06-18,,,Aun-metal,1,,
rou2__20200618A03,1,2020-06-18,12.30,17.30,routeCode10/10/2020,2,,
rou2__20200604A03,1,2020-06-04,12.30,17.30,routeCode10/10/2020,2,,
rou2__20200616A03,1,2020-06-16,12.30,17.30,routeCode10/10/2020,2,,
Aun1__20200608A03,0,2020-06-08,,,Aun-metal,1,,
rou2__20200605A02,0,2020-06-05,,,routeCode10/10/2020,2,,
Aun1__20200619A03,0,2020-06-19,,,Aun-metal,1,,
rou2__20200609A01,0,2020-06-09,,,routeCode10/10/2020,2,,
Aun1__20200612A03,0,2020-06-12,,,Aun-metal,1,,
rou2__20200610A03,0,2020-06-10,,,routeCode10/10/2020,2,,
Aun1__20200606A03,0,2020-06-06,,,Aun-metal,1,,
Aun1__20200604A03,0,2020-06-04,,,Aun-metal,1,,
rou2__20200608A02,0,2020-06-08,,,routeCode10/10/2020,2,,
SPV1__20200604A02,0,2020-06-04,,,SPV-JIT-Rayong,1,,
SPV1__20200601A01,0,2020-06-01,,,SPV-JIT-Rayong,1,,
Aun1__20200615A03,0,2020-06-15,,,Aun-metal,1,,
Aun1__20200609A03,0,2020-06-09,,,Aun-metal,1,,
Aun1__20200609A02,0,2020-06-09,,,Aun-metal,1,,
Aun1__20200606A01,0,2020-06-06,,,Aun-metal,1,,
rou2__20200603A03,1,2020-06-03,12.30,17.30,routeCode10/10/2020,2,,
SPV1__20200605A01,0,2020-06-05,,,SPV-JIT-Rayong,1,,
SPV1__20200604A01,0,2020-06-04,,,SPV-JIT-Rayong,1,,
rou2__20200604A01,0,2020-06-04,,,routeCode10/10/2020,2,,
new1__20201006A01,0,2020-10-06,,,new,1,,
Aun1__20200615A01,0,2020-06-15,,,Aun-metal,1,,
Aun1__20200612A02,0,2020-06-12,,,Aun-metal,1,,
SPV1__20200609A01,0,2020-06-09,,,SPV-JIT-Rayong,1,,
Aun1__20200612A01,0,2020-06-12,,,Aun-metal,1,,
SPV1__20200602A03,0,2020-06-02,,,SPV-JIT-Rayong,1,,
rou2__20200608A01,0,2020-06-08,,,routeCode10/10/2020,2,,
SPV1__20200609A02,0,2020-06-09,,,SPV-JIT-Rayong,1,,
rou2__20200610A01,0,2020-06-10,,,routeCode10/10/2020,2,,
Aun1__20200608A01,0,2020-06-08,,,Aun-metal,1,,
SPV1__20200605A02,0,2020-06-05,,,SPV-JIT-Rayong,1,,
Aun1__20200617A02,0,2020-06-17,,,Aun-metal,1,,
